fileName;precision;recall
2132.csv;1.0;0.03
4864.csv;1.0;0.03
4710.csv;;0
1373.csv;;0
1539.csv;1.0;0.01
4775.csv;1.0;0.03
921.csv;1.0;0.01
1423.csv;;0
1312.csv;;0
4266.csv;;0
3406.csv;1.0;0.02
1541.csv;1.0;0.02
2671.csv;;0
2913.csv;;0
2368.csv;;0
4175.csv;1.0;0.03
2803.csv;1.0;0.01
3378.csv;;0
3001.csv;;0
4106.csv;;0
4323.csv;;0
2364.csv;;0
1445.csv;;0
562.csv;;0
4005.csv;;0
2495.csv;;0
2056.csv;;0
4072.csv;1.0;0.01
366.csv;;0
2055.csv;;0
10.csv;1.0;0.04
3454.csv;;0
3890.csv;;0
2458.csv;1.0;0.01
979.csv;;0
1449.csv;1.0;0.01
205.csv;;0
4017.csv;1.0;0.01
964.csv;1.0;0.03
4478.csv;1.0;0.03
3590.csv;1.0;0.01
544.csv;;0
3779.csv;;0
734.csv;1.0;0.01
1523.csv;1.0;0.01
4925.csv;1.0;0.01
118.csv;1.0;0.04
2229.csv;;0
4273.csv;;0
3007.csv;;0
488.csv;1.0;0.01
1369.csv;;0
3182.csv;;0
302.csv;1.0;0.02
519.csv;1.0;0.02
4676.csv;1.0;0.02
3048.csv;;0
2748.csv;1.0;0.01
957.csv;1.0;0.02
3061.csv;1.0;0.01
3341.csv;1.0;0.01
4509.csv;1.0;0.02
2039.csv;1.0;0.05
3067.csv;;0
1100.csv;;0
4708.csv;;0
1049.csv;;0
56.csv;;0
3065.csv;1.0;0.02
2689.csv;;0
1981.csv;1.0;0.03
3059.csv;;0
864.csv;1.0;0.01
3894.csv;;0
436.csv;;0
2917.csv;1.0;0.01
2454.csv;1.0;0.02
603.csv;1.0;0.04
1051.csv;1.0;0.02
16.csv;1.0;0.05
3635.csv;;0
2261.csv;1.0;0.01
3342.csv;1.0;0.01
3191.csv;1.0;0.03
1759.csv;;0
4965.csv;1.0;0.04
1933.csv;1.0;0.03
1429.csv;;0
2422.csv;1.0;0.01
3599.csv;1.0;0.03
443.csv;;0
3563.csv;;0
