fileName;precision;recall
2132.csv;;0
4864.csv;;0
4710.csv;;
1373.csv;;0
1539.csv;;0
4775.csv;0;0
921.csv;;0
1423.csv;0;0
1312.csv;;0
4266.csv;;
3406.csv;;0
1541.csv;1.0;0.6666666666666666
2671.csv;0;0
2913.csv;;
2368.csv;;
4175.csv;;0
2803.csv;1.0;1.0
3378.csv;;
3001.csv;;
4106.csv;;
4323.csv;;
2364.csv;;
1445.csv;;
562.csv;;
4005.csv;0;0
2495.csv;;0
2056.csv;;0
4072.csv;0;0
366.csv;;0
2055.csv;;0
10.csv;0;0
3454.csv;;
3890.csv;0;0
2458.csv;1.0;1.0
979.csv;1.0;1.0
1449.csv;;0
205.csv;;
4017.csv;;0
964.csv;;0
4478.csv;;0
3590.csv;0;0
544.csv;;
3779.csv;;0
734.csv;0;0
1523.csv;;0
4925.csv;0;0
118.csv;;0
2229.csv;;
4273.csv;;
3007.csv;;
488.csv;;0
1369.csv;;
3182.csv;;
302.csv;;0
519.csv;1.0;0.6666666666666666
4676.csv;;0
3048.csv;0;0
2748.csv;;0
957.csv;1.0;1.0
3061.csv;;0
3341.csv;0;0
4509.csv;0;0
2039.csv;;0
3067.csv;;0
1100.csv;;
4708.csv;;
1049.csv;0;0
56.csv;0;0
3065.csv;1.0;0.6666666666666666
2689.csv;;
1981.csv;;0
3059.csv;1.0;1.0
864.csv;;0
3894.csv;;
436.csv;;0
2917.csv;;0
2454.csv;;0
603.csv;0;0
1051.csv;;0
16.csv;;0
3635.csv;;
2261.csv;1.0;1.0
3342.csv;1.0;0.3333333333333333
3191.csv;;0
1759.csv;;
4965.csv;0;0
1933.csv;0;0
1429.csv;;
2422.csv;1.0;0.5
3599.csv;;0
443.csv;;
3563.csv;;
2066.csv;;0
578.csv;;0
3739.csv;;
2172.csv;;0
2283.csv;0.5;0.5
3360.csv;;0
4534.csv;1.0;0.3333333333333333
51.csv;;0
4666.csv;;
365.csv;;0
392.csv;0.5;0.3333333333333333
3480.csv;;0
2838.csv;;
977.csv;0.5;0.3333333333333333
2907.csv;;
405.csv;;0
3120.csv;;0
2679.csv;;
4324.csv;;0
4001.csv;;0
2471.csv;;
3671.csv;;
252.csv;;
248.csv;;0
4456.csv;;0
527.csv;;0
3140.csv;;
1035.csv;;0
291.csv;;0
2850.csv;;0
2044.csv;;
4191.csv;0;0
3349.csv;;0
229.csv;;0
2010.csv;;0
4537.csv;;
2880.csv;;
1640.csv;0;0
3393.csv;0;0
757.csv;1.0;1.0
796.csv;;0
1441.csv;;0
3024.csv;;0
3440.csv;;
4322.csv;;
1012.csv;;
3762.csv;;0
3931.csv;;
3709.csv;0.6666666666666666;0.5
4306.csv;;0
3190.csv;;0
1582.csv;0;0
1273.csv;;0
789.csv;;0
3665.csv;0;0
2344.csv;0;0
4351.csv;;
1586.csv;;
4398.csv;;0
2352.csv;1.0;1.0
2961.csv;;
4917.csv;0;0
1167.csv;;0
1849.csv;;0
4596.csv;;0
1726.csv;1.0;0.5
2674.csv;1.0;0.5
4555.csv;;0
75.csv;;0
4525.csv;0;0
3493.csv;;0
4581.csv;;
4129.csv;;0
2990.csv;;0
4479.csv;;0
3262.csv;;
3467.csv;;0
1694.csv;0;0
4921.csv;0;0
2602.csv;0;0
869.csv;;0
12.csv;;0
2389.csv;;
2399.csv;;0
4316.csv;0;0
4157.csv;;
3174.csv;1.0;1.0
1740.csv;;
4519.csv;;0
3021.csv;;0
2614.csv;;
1206.csv;;0
4976.csv;;0
893.csv;1.0;0.6666666666666666
3711.csv;;
518.csv;;0
4309.csv;;0
282.csv;;
2952.csv;0;0
4781.csv;0;0
1120.csv;;0
2501.csv;0;0
4923.csv;0;0
2720.csv;1.0;0.4
3775.csv;;
3710.csv;;0
3732.csv;0.5;0.25
48.csv;1.0;0.5
2220.csv;;0
2441.csv;1.0;1.0
1599.csv;;0
2257.csv;;
1862.csv;0;0
4439.csv;0;0
1743.csv;0;0
2446.csv;;0
1792.csv;0.5;0.5
3584.csv;;0
4535.csv;;
3282.csv;;0
1772.csv;;0
1995.csv;;0
4874.csv;;
94.csv;1.0;0.125
3926.csv;;0
624.csv;;0
1185.csv;;0
2327.csv;;
868.csv;;
1093.csv;;0
3388.csv;;0
1307.csv;;0
515.csv;0;0
919.csv;1.0;0.16666666666666666
1152.csv;;0
587.csv;0;0
3461.csv;;
347.csv;0;0
898.csv;;0
2721.csv;;0
4722.csv;0;0
2147.csv;;0
3742.csv;;0
4743.csv;0;0
1102.csv;1.0;1.0
1485.csv;0;0
2610.csv;;0
643.csv;;0
3559.csv;;
3192.csv;0;0
2738.csv;0;0
114.csv;0.5;0.5
4821.csv;1.0;0.4
4521.csv;;
3411.csv;0;0
2895.csv;;0
2092.csv;0;0
627.csv;0.5;0.3333333333333333
1633.csv;;0
4304.csv;;0
1483.csv;;
3880.csv;;0
2989.csv;0;0
1840.csv;0;0
4201.csv;;0
3743.csv;;
4179.csv;;
4173.csv;;0
2653.csv;;0
2.csv;;0
2401.csv;;0
292.csv;;
1922.csv;;
4904.csv;;0
135.csv;;
4833.csv;0;0
3532.csv;0;0
3840.csv;0;0
1318.csv;;
1775.csv;;
4009.csv;;
1719.csv;;
2058.csv;;0
2955.csv;0;0
2737.csv;;
1655.csv;1.0;1.0
4120.csv;0;0
3381.csv;;
4374.csv;;
4461.csv;;0
4901.csv;;
4849.csv;;0
3037.csv;;
3869.csv;;0
2574.csv;;
2796.csv;;
221.csv;1.0;0.25
2180.csv;;0
3537.csv;;
877.csv;0.5;0.5
941.csv;;0
158.csv;0.5;0.5
4176.csv;;0
945.csv;;0
1189.csv;;0
2176.csv;;
4985.csv;;0
1041.csv;;
374.csv;0.5;0.3333333333333333
1479.csv;;
2628.csv;;0
508.csv;0.5;0.14285714285714285
150.csv;;0
1452.csv;;0
4081.csv;;0
2967.csv;0.5;0.25
2635.csv;;
44.csv;;
2029.csv;;0
3396.csv;;0
2067.csv;;0
3425.csv;1.0;0.25
3892.csv;;
3708.csv;;
4367.csv;;0
4714.csv;;
3382.csv;0;0
1873.csv;;
4169.csv;;0
2382.csv;;0
1940.csv;;0
2072.csv;0;0
3215.csv;;0
1386.csv;1.0;0.3333333333333333
4395.csv;;0
3798.csv;;0
2321.csv;;
1456.csv;0;0
4222.csv;;
1067.csv;0;0
3990.csv;;0
780.csv;;
768.csv;;0
