fileName;precision;recall
5081.csv;0.99;0.99
5054.csv;1.0;1.0
5045.csv;0.99;0.99
5092.csv;1.0;1.0
5004.csv;1.0;1.0
5008.csv;1.0;1.0
5041.csv;1.0;1.0
5035.csv;1.0;1.0
5096.csv;1.0;1.0
5037.csv;1.0;1.0
5034.csv;1.0;1.0
5020.csv;1.0;1.0
5057.csv;1.0;1.0
5064.csv;1.0;1.0
5029.csv;1.0;1.0
5048.csv;1.0;1.0
5095.csv;1.0;1.0
5053.csv;1.0;1.0
5066.csv;1.0;1.0
5040.csv;1.0;1.0
5079.csv;1.0;1.0
5058.csv;1.0;1.0
5061.csv;1.0;1.0
5050.csv;1.0;1.0
5070.csv;1.0;1.0
5062.csv;1.0;1.0
5068.csv;1.0;1.0
5016.csv;1.0;1.0
5091.csv;1.0;1.0
5075.csv;1.0;1.0
5056.csv;1.0;1.0
5049.csv;1.0;1.0
5086.csv;1.0;1.0
5097.csv;1.0;1.0
5031.csv;1.0;1.0
5022.csv;1.0;1.0
5093.csv;1.0;1.0
5089.csv;1.0;1.0
5074.csv;1.0;1.0
5005.csv;1.0;1.0
5047.csv;1.0;1.0
5085.csv;1.0;1.0
5077.csv;1.0;1.0
5011.csv;1.0;1.0
5018.csv;1.0;1.0
5044.csv;1.0;1.0
5038.csv;1.0;1.0
5030.csv;1.0;1.0
5065.csv;0.99;0.99
5001.csv;1.0;1.0
5012.csv;0.99;0.99
5024.csv;1.0;1.0
5042.csv;1.0;1.0
5009.csv;0.97;0.97
5083.csv;1.0;1.0
5019.csv;1.0;1.0
5013.csv;1.0;1.0
5036.csv;1.0;1.0
5060.csv;1.0;1.0
5007.csv;1.0;1.0
5017.csv;1.0;1.0
5082.csv;1.0;1.0
5094.csv;1.0;1.0
5067.csv;1.0;1.0
5028.csv;1.0;1.0
5015.csv;1.0;1.0
5084.csv;1.0;1.0
5003.csv;1.0;1.0
5073.csv;1.0;1.0
5046.csv;1.0;1.0
5076.csv;1.0;1.0
5025.csv;1.0;1.0
5000.csv;1.0;1.0
5098.csv;1.0;1.0
5071.csv;1.0;1.0
5002.csv;1.0;1.0
5051.csv;1.0;1.0
5014.csv;1.0;1.0
5026.csv;1.0;1.0
5059.csv;1.0;1.0
5027.csv;1.0;1.0
5069.csv;1.0;1.0
5080.csv;1.0;1.0
5006.csv;1.0;1.0
5010.csv;0.99;0.99
5052.csv;1.0;1.0
5099.csv;1.0;1.0
5087.csv;1.0;1.0
5039.csv;0.99;0.99
5072.csv;0.99;0.99
5063.csv;1.0;1.0
5032.csv;1.0;1.0
5023.csv;1.0;1.0
5033.csv;1.0;1.0
5021.csv;1.0;1.0
5055.csv;1.0;1.0
5090.csv;1.0;1.0
5043.csv;1.0;1.0
5078.csv;1.0;1.0
5088.csv;1.0;1.0
