fileName;precision;recall
5081.csv;1.0;0.03
5054.csv;1.0;0.01
5045.csv;;0
5092.csv;1.0;0.01
5004.csv;;0
5008.csv;1.0;0.01
5041.csv;1.0;0.01
5035.csv;1.0;0.02
5096.csv;;0
5037.csv;;0
5034.csv;1.0;0.02
5020.csv;1.0;0.02
5057.csv;;0
5064.csv;;0
5029.csv;1.0;0.02
5048.csv;;0
5095.csv;;0
5053.csv;1.0;0.01
5066.csv;;0
5040.csv;;0
5079.csv;1.0;0.03
5058.csv;1.0;0.01
5061.csv;;0
5050.csv;;0
5070.csv;1.0;0.01
5062.csv;;0
5068.csv;1.0;0.03
5016.csv;;0
5091.csv;;0
5075.csv;1.0;0.01
5056.csv;;0
5049.csv;;0
5086.csv;1.0;0.01
5097.csv;;0
5031.csv;1.0;0.01
5022.csv;;0
5093.csv;1.0;0.05
5089.csv;;0
5074.csv;1.0;0.04
5005.csv;1.0;0.02
5047.csv;1.0;0.01
5085.csv;1.0;0.01
5077.csv;1.0;0.02
5011.csv;1.0;0.03
5018.csv;1.0;0.01
5044.csv;1.0;0.02
5038.csv;1.0;0.01
5030.csv;1.0;0.02
5065.csv;1.0;0.05
5001.csv;;0
5012.csv;1.0;0.04
5024.csv;1.0;0.02
5042.csv;;0
5009.csv;1.0;0.01
5083.csv;1.0;0.01
5019.csv;1.0;0.02
5013.csv;;0
5036.csv;1.0;0.03
5060.csv;1.0;0.01
5007.csv;1.0;0.02
5017.csv;1.0;0.03
5082.csv;1.0;0.01
5094.csv;1.0;0.04
5067.csv;;0
5028.csv;1.0;0.01
5015.csv;1.0;0.02
5084.csv;;0
5003.csv;;0
5073.csv;1.0;0.03
5046.csv;1.0;0.02
5076.csv;1.0;0.03
5025.csv;1.0;0.01
5000.csv;;0
5098.csv;1.0;0.02
5071.csv;1.0;0.02
5002.csv;1.0;0.02
5051.csv;;0
5014.csv;;0
5026.csv;;0
5059.csv;1.0;0.02
5027.csv;;0
5069.csv;1.0;0.02
5080.csv;1.0;0.03
5006.csv;1.0;0.02
5010.csv;1.0;0.01
5052.csv;1.0;0.03
5099.csv;;0
5087.csv;1.0;0.01
5039.csv;1.0;0.03
5072.csv;1.0;0.07
5063.csv;1.0;0.02
5032.csv;;0
5023.csv;1.0;0.03
5033.csv;1.0;0.03
5021.csv;1.0;0.02
5055.csv;1.0;0.01
5090.csv;1.0;0.02
5043.csv;1.0;0.02
5078.csv;;0
5088.csv;1.0;0.02
